source_record_id,article_feature_match_method,article_feature_match_conflict,article_feature_source,competing_orders,gap_symmetry,pairing_mechanism,dopant_defect,article_feature_any_available
sc_atlas:4233,doi_exact,,all_11200_article_features.xlsx:文章主表,,,interaction among the second nearest neighbor In-In atoms originating from In 4d and N 2s hybridization.,,1
sc_atlas:4232,doi_exact,,all_11200_article_features.xlsx:文章主表,,,interaction among the second nearest neighbor In-In atoms originating from In 4d and N 2s hybridization.,,1
sc_atlas:4231,doi_exact,,all_11200_article_features.xlsx:文章主表,,,interaction among the second nearest neighbor In-In atoms originating from In 4d and N 2s hybridization.,,1
sc_atlas:4235,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4236,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""cobaltocene""]",1
sc_atlas:4242,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Yb, Er""]",1
sc_atlas:4244,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Yb, Er""]",1
sc_atlas:4243,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Yb, Er""]",1
sc_atlas:4241,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Yb, Er""]",1
sc_atlas:4238,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Yb, Er""]",1
sc_atlas:4240,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Yb, Er""]",1
sc_atlas:4246,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4247,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4249,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""structural transition from tetragonal to orthorhombic"",""structural transition from tetragonal to triclinic""]",,,"[""Fe""]",1
sc_atlas:4248,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""structural transition from tetragonal to orthorhombic"",""structural transition from tetragonal to triclinic""]",,,"[""Fe""]",1
sc_atlas:4251,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4262,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4264,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4263,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4301,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4300,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4306,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Ba"",""F""]",1
sc_atlas:4307,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Ni""]",1
sc_atlas:4314,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4313,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4312,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4315,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4319,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4321,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4318,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4317,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4351,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4349,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4350,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4320,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4347,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4345,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4325,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4316,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4343,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4346,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4327,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4329,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4337,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4323,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4344,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4324,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4342,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4334,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4326,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4332,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4322,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4354,doi_exact,,all_11200_article_features.xlsx:文章主表,,,electron–phonon interaction,,1
sc_atlas:4353,doi_exact,,all_11200_article_features.xlsx:文章主表,,,electron–phonon interaction,,1
sc_atlas:4364,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen deficiency""]",1
sc_atlas:4417,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4409,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4408,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4419,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4411,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4418,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4410,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4413,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4420,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4412,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4423,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4415,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4506,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4507,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4504,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4505,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4502,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4500,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4498,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4503,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4496,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4494,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4501,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4499,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4497,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4495,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4537,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4538,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4543,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Y""]",1
sc_atlas:4544,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Y""]",1
sc_atlas:4541,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Y""]",1
sc_atlas:4540,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Y""]",1
sc_atlas:4542,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Y""]",1
sc_atlas:4539,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Y""]",1
sc_atlas:4561,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4559,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4562,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4557,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4560,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4558,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4555,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4556,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4553,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4554,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4551,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4552,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4549,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4550,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4547,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4548,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4545,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4563,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4546,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4564,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4565,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4566,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4567,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4568,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4608,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""intersite Fe""]",1
sc_atlas:4606,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""intersite Fe""]",1
sc_atlas:4625,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4624,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4623,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4622,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4617,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4616,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4621,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4615,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4620,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4614,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4613,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4619,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4612,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4618,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4611,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4610,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4626,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""C""]",1
sc_atlas:4635,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Fe""]",1
sc_atlas:4634,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Fe""]",1
sc_atlas:4633,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Fe""]",1
sc_atlas:4632,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Fe""]",1
sc_atlas:4631,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Fe""]",1
sc_atlas:4630,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Fe""]",1
sc_atlas:4645,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""carbon""]",1
sc_atlas:4646,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""carbon""]",1
sc_atlas:4644,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""carbon""]",1
sc_atlas:4643,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""carbon""]",1
sc_atlas:4642,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""carbon""]",1
sc_atlas:4647,doi_exact,,all_11200_article_features.xlsx:文章主表,,d-wave,,,1
sc_atlas:4649,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""graphene""]",1
sc_atlas:4650,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""graphene""]",1
sc_atlas:4651,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""graphene""]",1
sc_atlas:4652,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""graphene""]",1
sc_atlas:4653,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""graphene""]",1
sc_atlas:4673,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Ag""]",1
sc_atlas:4674,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Ag""]",1
sc_atlas:4687,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4683,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4686,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4690,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4685,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4689,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4684,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:4688,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""fluorine""]",1
sc_atlas:126,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:124,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:125,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:123,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:121,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:122,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4693,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4694,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen deficiency""]",1
sc_atlas:4713,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4723,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen""]",1
sc_atlas:4724,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen""]",1
sc_atlas:4725,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4727,doi_exact,,all_11200_article_features.xlsx:文章主表,antiferromagnetic order,,,"[""As""]",1
sc_atlas:4726,doi_exact,,all_11200_article_features.xlsx:文章主表,antiferromagnetic order,,,"[""As""]",1
sc_atlas:4728,doi_exact,,all_11200_article_features.xlsx:文章主表,spin-density-wave,,,"[""P""]",1
sc_atlas:4729,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4730,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4731,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4732,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4733,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""K""]",1
sc_atlas:4734,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Co""]",1
sc_atlas:4737,doi_exact,,all_11200_article_features.xlsx:文章主表,orthorhombic order,,,"[""S""]",1
sc_atlas:4736,doi_exact,,all_11200_article_features.xlsx:文章主表,orthorhombic order,,,"[""S""]",1
sc_atlas:4735,doi_exact,,all_11200_article_features.xlsx:文章主表,orthorhombic order,,,"[""S""]",1
sc_atlas:4746,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,,,"[""K""]",1
sc_atlas:4747,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,,,"[""K""]",1
sc_atlas:4744,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,,,"[""K""]",1
sc_atlas:4745,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,,,"[""K""]",1
sc_atlas:4751,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4750,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4759,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4758,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4753,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4752,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4755,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4754,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4757,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4756,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4749,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4748,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Mg""]",1
sc_atlas:4761,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen vacancy""]",1
sc_atlas:4763,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen vacancy""]",1
sc_atlas:4762,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen vacancy""]",1
sc_atlas:4760,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen vacancy""]",1
sc_atlas:155,unmatched,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4766,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4769,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Ce""]",1
sc_atlas:4771,doi_exact,,all_11200_article_features.xlsx:文章主表,spin-density-wave,,,"[""Y""]",1
sc_atlas:4770,doi_exact,,all_11200_article_features.xlsx:文章主表,spin-density-wave,,,"[""Y""]",1
sc_atlas:4772,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4777,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4778,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4789,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen"",""thallium""]",1
sc_atlas:4788,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen"",""thallium""]",1
sc_atlas:4790,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen"",""thallium""]",1
sc_atlas:4793,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Cu""]",1
sc_atlas:4795,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Cu""]",1
sc_atlas:4792,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Cu""]",1
sc_atlas:4791,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Cu""]",1
sc_atlas:4794,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Cu""]",1
sc_atlas:4804,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen deficiency""]",1
sc_atlas:4803,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen deficiency""]",1
sc_atlas:4801,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""oxygen deficiency""]",1
sc_atlas:4805,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""spin density wave"",""ferromagnetic order""]",,,,1
sc_atlas:4806,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""spin density wave"",""ferromagnetic order""]",,,,1
